Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL3110004,,None,514.53,2,5.36,TMP269,O=C(NCC1(c2nc(-c3ccccc3)cs2)CCOCC1)c1cccc(-c2noc(C(F)(F)F)n2)c1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL3794900,Inhibition of full length human recombinant C-terminal His-tagged HDAC3 (1 to 428 residues)/human recombinant N-terminal GST-tagged NCOR2 expressed in insect cells using RHK-K(Ac)-AMC as substrate incubated for 60 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL3792358,1,Scientific Literature,Eur J Med Chem,2016,None,,,
CHEMBL4159674,,None,381.38,0,3.98,121,Nc1cc(F)ccc1NC(=O)c1ccc(NC(=O)Cc2ccc(F)cc2)cc1,IC50,'=',199.99,nM,6.7,,,UO_0000065,17.57,0.33,2.72,7.95,0,CHEMBL4275645,Inhibition of full length human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) co-expressed in baculovirus infected sf9 cells using (FAM)-labeled acetylated peptide substrate after 60 mins by caliper microfluidic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4270635,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL3347516,,None,354.45,0,3.77,41,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc1ccccc1N,IC50,'=',988.55,nM,6,,,UO_0000065,16.94,0.32,2.24,5.45,0,CHEMBL4275644,Inhibition of His6-tagged HDAC3/SMRT (395 to 489 residues) (unknown origin) co-expressed in baculovirus infected sf9 cells using (FAM)-labeled acetylated peptide substrate after 17 hrs by caliper microfluidic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4270635,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4285537,,None,479.61,1,5.27,38,CC(=O)Nc1cccc(-c2csc(NC(=O)CCCCCCC(=O)Nc3ccccc3N)n2)c1,IC50,'=',29.99,nM,7.52,,,UO_0000065,15.69,0.3,2.25,5.96,0,CHEMBL4275644,Inhibition of His6-tagged HDAC3/SMRT (395 to 489 residues) (unknown origin) co-expressed in baculovirus infected sf9 cells using (FAM)-labeled acetylated peptide substrate after 17 hrs by caliper microfluidic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4270635,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4468076,,None,556.64,2,5.92,451d,O=C(CCCCCCn1cc(-c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)nn1)NO,IC50,'=',748,nM,6.13,,,UO_0000065,11.01,0.21,0.21,4.45,0,CHEMBL4422800,Inhibition of human recombinant full length C-terminal His-tagged HDAC3 (1 to 428 residues)/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in insect cells using Boc-l-Lys(Ac)-AMC as substrate preincubated up to 3 hrs and measured after 35 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4099599,,None,623.8,1,3.07,Apicidin,CCC(=O)CCCCC[C@@H]1NC(=O)C2CCCCN2C(=O)[C@H](C(C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,IC50,'=',7,nM,8.15,,,UO_0000065,,,,,0,CHEMBL4014724,Inhibition of full length human C-terminal His-tagged KDAC3/N-terminal GST-tagged human NCOR2 (395 to 489 residues) expressed in baculovirus expression system using FITC-p53 acetylated peptide as substrate after 60 mins by microfluidic assay,A,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4014283,1,Scientific Literature,Bioorg Med Chem,2017,None,,,
CHEMBL4085511,,None,561.64,1,4.67,11a,COc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1,IC50,'=',938.5,nM,6.03,,,UO_0000065,10.73,0.2,1.36,4.36,0,CHEMBL4024080,Inhibition of full length recombinant human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 co-expressed in baculovirus expression system using Boc-Lys(acetyl)-AMC as substrate preincubated for 15 mins followed by substrate addition measured after 2 hrs by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4020839,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL569812,,None,585.77,1,2.61,9,CCC(=O)CCCSC[C@@H]1NC(=O)[C@H](C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,IC50,'=',62,nM,7.21,,,UO_0000065,12.3,0.24,4.6,4.83,0,CHEMBL2014771,Inhibition of HDAC3-NCoR2 in human HeLa cells nuclear extract using Fluor-de-Lys as substrate after 30 mins by spectrophotometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL2010669,1,Scientific Literature,ACS Med Chem Lett,2011,CHEMBL3308376,,,
CHEMBL2012817,,None,577.73,1,3.68,18,CCC(=O)CCCCC[C@@H]1NC(=O)[C@@H](C)n2nncc2[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,IC50,'=',9,nM,8.05,,,UO_0000065,13.93,0.26,4.37,5.33,0,CHEMBL2014771,Inhibition of HDAC3-NCoR2 in human HeLa cells nuclear extract using Fluor-de-Lys as substrate after 30 mins by spectrophotometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL2010669,1,Scientific Literature,ACS Med Chem Lett,2011,CHEMBL3308376,,,
CHEMBL3692671,,None,398.43,0,4,2,CCCN(CCC)C[C@@H](C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,IC50,'=',2500,nM,5.6,,,UO_0000065,,,,,0,CHEMBL4689593,Inhibition of HDAC3/NCOR2 (unknown origin) using Boc-Lys(Ac) as substrate by fluorogenic assay,A,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4680373,1,Scientific Literature,ACS Med Chem Lett,2021,None,,INHIBITOR,
CHEMBL4747488,,None,354.33,0,2.58,7,O=C(NCCN1CCCC1)c1ccc(-c2noc(C(F)(F)F)n2)cc1,IC50,'=',5100,nM,5.29,,,UO_0000065,,,,,0,CHEMBL4689593,Inhibition of HDAC3/NCOR2 (unknown origin) using Boc-Lys(Ac) as substrate by fluorogenic assay,A,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4680373,1,Scientific Literature,ACS Med Chem Lett,2021,None,,INHIBITOR,
CHEMBL4238322,,None,518.65,2,5.76,23; AFP-277,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccc(OCCCCC(=O)NO)cc1,IC50,'=',2100,nM,5.68,,,UO_0000065,10.95,0.2,-0.08,6.22,0,CHEMBL4235270,Inhibition of human full length C-terminal His-tagged HDAC3/N-terminal GST-tagged human NCOR2 (395 to 489 residues) expressed in baculovirus expression system using Ac-Leu-Gly-Lys(Ac)-AMC as substrate measured after 30 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4229504,1,Scientific Literature,Bioorg Med Chem,2018,None,,,
CHEMBL4524784,,None,640.87,2,5.33,42aS,CCCCCCCC(=O)SCC/C=C(\F)[C@@H]1CC(=O)NCc2nc(cs2)C2=N[C@@](C)(CS2)C(=O)N[C@@H](C(C)C)C(=O)O1,IC50,'=',2303,nM,5.64,,,UO_0000065,8.8,0.18,0.31,4.45,0,CHEMBL4363858,Inhibition of human recombinant full length C-terminal His-tagged HDAC3 (1 to 428 residues)/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected Sf9 cells using Ac-peptide-AMC as substrate preincubated for 15 mins followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4359920,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,
CHEMBL4467713,,None,532.66,1,2.59,41cS,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/C(F)(F)CS)OC1=O,IC50,'=',8.21,nM,8.09,,,UO_0000065,15.18,0.32,5.5,7.37,0,CHEMBL4363858,Inhibition of human recombinant full length C-terminal His-tagged HDAC3 (1 to 428 residues)/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected Sf9 cells using Ac-peptide-AMC as substrate preincubated for 15 mins followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4359920,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,
CHEMBL4464169,,None,331.42,0,4.16,4d,CN(Cc1ccc(C(=O)Nc2ccccc2N)cc1)c1ccccc1,IC50,'=',2800,nM,5.55,,,UO_0000065,16.75,0.3,1.39,9.51,0,CHEMBL4353988,Inhibition of human recombinant C-terminal His-tagged HDAC3/NCOR2 using Boc-Lys-(epsilon-Ac)-AMC as fluorogenic substrate incubated for 90 mins by fluorescence based assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4351000,1,Scientific Literature,Eur J Med Chem,2019,None,,,
CHEMBL3347696,,None,482.59,1,5.43,34,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccccc3)nn2)c1,IC50,'=',119.95,nM,6.92,,,UO_0000065,14.34,0.26,1.49,6.02,0,CHEMBL4275644,Inhibition of His6-tagged HDAC3/SMRT (395 to 489 residues) (unknown origin) co-expressed in baculovirus infected sf9 cells using (FAM)-labeled acetylated peptide substrate after 17 hrs by caliper microfluidic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4270635,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL2018302,TUBASTATIN A,None,335.41,0,2.8,Tubastatin,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,'>',30000,nM,,,,UO_0000065,,,,,1,CHEMBL2432125,Inhibition of HDAC3/NcoR2 (unknown origin) using RHKKAc as substrate,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL2429834,1,Scientific Literature,J Med Chem,2013,None,,,
CHEMBL4531072,,None,478.52,0,3.45,16a,CCCNNC(=O)c1ccc(CNCCc2c(C)[nH]c3ccccc23)cc1.O=C(O)C(F)(F)F,IC50,'=',19.94,nM,7.7,,,UO_0000065,21.13,0.39,4.25,11.17,0,CHEMBL4346118,Inhibition of recombinant human C-terminal GST/His-tagged HDAC3 (1 to 428 residues) co-expressed with human N-terminal GST-tagged NCOR2 (395 to 489 residues) in baculovirus infected Sf9 cells using Boc-Lys(acetyl)-AMC as substrate preincubated for 1 hr followed by substrate addition and measured after 2 hrs by fluorescence based micro plate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4342521,1,Scientific Literature,J Med Chem,2020,CHEMBL3308860,,,
CHEMBL4086442,,None,527.63,1,3.48,13b,CCCNNC(=O)c1ccc(CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(OC)cc2)cc1,IC50,'=',8.5,nM,8.07,,,UO_0000065,15.3,0.28,4.59,6.49,0,CHEMBL4024078,Inhibition of full length recombinant human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 co-expressed in baculovirus expression system using Boc-Lys(acetyl)-AMC as substrate preincubated for 60 mins followed by substrate addition measured after 2 hrs by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4020839,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL3593247,,None,496.68,0,2.34,6,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,IC50,'=',0.7,nM,9.15,,,UO_0000065,18.43,0.39,6.81,8.34,0,CHEMBL4021380,Inhibition of full length human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected Sf9 insect cells using BPS HDAC substrate 3 after 30 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4020727,1,Scientific Literature,Bioorg Med Chem,2017,None,,,
CHEMBL4089042,,None,520.68,1,2.78,11,CCC(=O)CC/C=C/[C@@H]1CC(=O)NCc2nc(cs2)C2=N[C@@](C)(CS2)C(=O)N[C@@H](C(C)C)C(=O)O1,IC50,'=',8000,nM,5.1,,,UO_0000065,9.79,0.2,2.32,4.02,0,CHEMBL4021380,Inhibition of full length human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected Sf9 insect cells using BPS HDAC substrate 3 after 30 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4020727,1,Scientific Literature,Bioorg Med Chem,2017,None,,,
CHEMBL4085511,,None,561.64,1,4.67,11a,COc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1,IC50,'=',433,nM,6.36,,,UO_0000065,11.33,0.21,1.69,4.6,0,CHEMBL4024079,Inhibition of full length recombinant human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 co-expressed in baculovirus expression system using Boc-Lys(acetyl)-AMC as substrate preincubated for 30 mins followed by substrate addition measured after 2 hrs by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4020839,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL27759,ENTINOSTAT,3,376.42,0,3.34,EntinostatÂ,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,'=',620,nM,6.21,,,UO_0000065,16.49,0.3,2.87,5.84,0,CHEMBL4686049,Inhibition of human recombinant HDAC3/NCOR2 using RHKKAc-AMC as substrate measured after 60 mins by fluorescence assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4680226,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 1.0 hr,INHIBITOR,
CHEMBL4777009,,None,503.58,1,4.91,16b,COc1ccc(S(=O)(=O)Nc2ccccc2OCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1,IC50,'=',7920,nM,5.1,,,UO_0000065,10.13,0.19,0.19,4.26,0,CHEMBL4686049,Inhibition of human recombinant HDAC3/NCOR2 using RHKKAc-AMC as substrate measured after 60 mins by fluorescence assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4680226,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 1.0 hr,INHIBITOR,
CHEMBL4095667,,None,293.33,0,2.97,10,O=C(NO)c1ccc(CNc2cccc3ncccc23)cc1,IC50,'=',5480,nM,5.26,,,UO_0000065,,,,,0,CHEMBL4028193,Inhibition of full length recombinant human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in insect cells using RHK-K(Ac)-AMC as substrate after 60 mins by fluorescence assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4024792,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,1; SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',30,nM,7.52,,,UO_0000065,28.46,0.54,5.05,9.59,0,CHEMBL4422754,Inhibition of human recombinant full length C-terminal His-tagged HDAC3 (1 to 428 residues)/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in insect cells using 7-AMC-labelled HDAC substrate measured after 30 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4533192,,None,428.51,0,4.17,451a,O=C(CCCCCCNC(=O)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12)NO,IC50,'=',214,nM,6.67,,,UO_0000065,15.56,0.3,2.5,5.61,0,CHEMBL4422800,Inhibition of human recombinant full length C-terminal His-tagged HDAC3 (1 to 428 residues)/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in insect cells using Boc-l-Lys(Ac)-AMC as substrate preincubated up to 3 hrs and measured after 35 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4422610,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4872188,,None,530.63,2,5.41,9b,COc1cc2c(NCc3ccc(C(=O)NO)cc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',21,nM,7.68,,,UO_0000065,14.47,0.27,2.27,7.04,0,CHEMBL4835058,Inhibition of full length human C-terminal His-tagged HDAC3/human N-terminal GST-agged NCOR2 using fluorogenic acetylated peptide as substrate incubated for 30 mins by fluorescence plate reader assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4834403,1,Scientific Literature,J Med Chem,2021,None,TIME = 0.5 hr,INHIBITOR,
CHEMBL4863011,,None,535.65,1,3.41,10b,COc1cc2c(NC3CCN(c4ncc(C(=O)NO)cn4)CC3)cc(C)nc2cc1OCCCN1CCCC1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4835058,Inhibition of full length human C-terminal His-tagged HDAC3/human N-terminal GST-agged NCOR2 using fluorogenic acetylated peptide as substrate incubated for 30 mins by fluorescence plate reader assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4834403,1,Scientific Literature,J Med Chem,2021,None,TIME = 0.5 hr,,
CHEMBL3982024,,None,425.49,0,2.36,7b,CCOc1ccc(C[C@H]2C[C@H](C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,'=',239,nM,6.62,,,UO_0000065,,,,,0,CHEMBL3860993,Inhibition of full length recombinant human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) expressed in baculovirus infected Sf9 cells using fluorogenic HDAC substrate after 30 mins by fluorescence analysis,A,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL3860059,1,Scientific Literature,J Med Chem,2016,CHEMBL3308860,,,
CHEMBL260653,,None,417.51,0,1.42,2,NCCCn1cc(CNc2ccc(C(=O)NCCCCCCC(=O)NO)cc2)nn1,IC50,'=',137,nM,6.86,,,UO_0000065,16.44,0.31,5.44,4.66,0,CHEMBL929248,Displacement of fluorescent 5-(3-(3-(4-((4-((7-(hydroxyamino)-7-oxoheptyl)carbamoyl)phenylamino)methyl)-1H-1,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3605500,,None,387.44,0,3.13,15c,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3cccnc3)CO2)cc1,IC50,'=',31,nM,7.51,,,UO_0000065,19.38,0.35,4.38,7.39,0,CHEMBL3606696,Inhibition of recombinant HDAC3/NCOR2 (unknown origin) pre-incubated for 3 hrs before substrate addition by homogeneous fluorogenic HDAC assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL3603817,1,Scientific Literature,J Med Chem,2015,None,,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,1; SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',13,nM,7.89,,,UO_0000065,29.84,0.57,5.42,10.05,0,CHEMBL4017029,Inhibition of full length human recombinant C-terminal His-tagged HDAC3/NcoR2 expressed in baculovirus infected Sf9 insect cells using Boc-Lys(epsilon-Ac)-AMC as substrate measured after 90 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4014348,1,Scientific Literature,J Med Chem,2017,None,,,
CHEMBL3098689,,None,404.47,0,1.23,9,O=C(CCCCC[C@H](NC(=O)[C@@H]1CCCC(=O)N1)C(=O)Nc1ccccc1)NO,IC50,'=',20,nM,7.7,,,UO_0000065,19.03,0.36,6.47,5.63,0,CHEMBL3102464,Inhibition of human HDAC3/NCOR2 using RHKK(Ac) as substrate by fluorimetric analysis,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL3098008,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,
CHEMBL4104334,,None,513.6,1,3.09,13a,CCNNC(=O)c1ccc(CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(OC)cc2)cc1,IC50,'=',34.9,nM,7.46,,,UO_0000065,14.52,0.27,4.37,6,0,CHEMBL4024067,Inhibition of full length recombinant human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 co-expressed in baculovirus expression system using Boc-Lys(acetyl)-AMC as substrate preincubated for 1 hr followed by substrate addition measured after 2 hrs by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4020839,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL4094199,,None,555.68,1,4.26,13d,CCCCCNNC(=O)c1ccc(CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(OC)cc2)cc1,IC50,'=',10.87,nM,7.96,,,UO_0000065,14.33,0.27,3.7,6.4,0,CHEMBL4024067,Inhibition of full length recombinant human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 co-expressed in baculovirus expression system using Boc-Lys(acetyl)-AMC as substrate preincubated for 1 hr followed by substrate addition measured after 2 hrs by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4020839,1,Scientific Literature,J Med Chem,2018,None,,,
CHEMBL1836142,THAILANDEPSIN A,None,547.77,1,1.65,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
